config_json,"{""all_runs_results_prefix"": ""seed_runs"", ""method"": ""ridge_cv"", ""n"": 10000, ""n_seeds"": 1000, ""p"": 100, ""progress_print_every"": 100, ""r_str"": 30, ""results_dir"": ""/home/ohadshee/Desktop/Thesis_Ohad_Sheelo/simulation_results/turned_off_unique"", ""results_prefix"": ""seed_summary"", ""seed_start"": 0, ""snr"": 10, ""test_name"": ""turned_off_unique"", ""u1_str"": 15, ""u2_str"": 2}"

seed,CA_R²_X1,CA_R²_X2,CA_R²_X12,CA_unique_X1,CA_unique_X2,CA_common,CA_unexplained,PID_red,PID_unq1,PID_unq2,PID_syn,I(M1;T),I(M2;T),"I(M1,M2;T)"
0,0.9864480192965371,0.7911666874585797,0.9863863260417167,0.19521963858313707,-6.169325482041632e-05,0.7912283807134002,0.013613673958283279,77.53636246471936,138.03966407405065,1.2969585625946252,-2.842170943040401e-14,215.57602653877,78.83332102731399,216.8729851013646
1,0.9864215059062655,0.7901998600320745,0.9863584292875508,0.19615856925547626,-6.307661871474135e-05,0.7902629366507893,0.013641570712449202,77.30567029477982,138.18446236320318,1.2900682733833833,2.842170943040401e-14,215.490132657983,78.59573856816321,216.7802009313664
2,0.9864365796100532,0.7906310902342252,0.986377093426531,0.19574600319230584,-5.948618352213941e-05,0.7906905764177474,0.013622906573468985,77.40199939013903,138.14654282722458,1.304161413459866,0.0,215.5485422173636,78.70616080359889,216.85270363082347
3,0.9864708375163572,0.79079556896106,0.9864162756300939,0.19562070666903397,-5.45618862632935e-05,0.7908501308473231,0.01358372436990607,77.41774115605557,138.2562191994655,1.3202754096553804,-2.842170943040401e-14,215.67396035552107,78.73801656571095,216.99423576517643
4,0.9864495173769032,0.7904420955969188,0.986389618056685,0.1959475224597662,-5.98993202182152e-05,0.7905019949171369,0.013610381943314986,77.36128034106733,138.23143790957278,1.3028427630856925,2.842170943040401e-14,215.5927182506401,78.66412310415302,216.89556101372582
5,0.9864587565837367,0.7910867407725459,0.9864008232820147,0.1953140825094688,-5.793330172199074e-05,0.791144674074268,0.013599176717985273,77.49527121629592,138.12233530662098,1.3087840711956744,0.0,215.6176065229169,78.8040552874916,216.92639059411258
6,0.9864639431867315,0.7904480644700034,0.9864072604093149,0.19595919593931155,-5.6682777416550145e-05,0.7905047472474199,0.013592739590685077,77.34124952226927,138.2973039222478,1.314667231905986,0.0,215.63855344451707,78.65591675417524,216.95322067642306
7,0.9864358307459078,0.790808822688758,0.9863781817201311,0.19556935903137318,-5.764902577665154e-05,0.7908664717145346,0.013621818279868858,77.44570205250037,138.0847005435274,1.308288781162105,-2.842170943040401e-14,215.53040259602776,78.75399083366247,216.83869137718983
